Date,Location,service_zone,weekday,time_bucket,time_bucket_label,rain_probability,rain_risk_level,base_demand_index,demand_index_with_rain,target_zone_demand_with_rain,trip_distance_km,trip_duration_min,pickup_distance_km,relocation_distance_km,current_request_fare,future_request_fare,score_wait,no_rain_score_wait,score_accept,no_rain_score_accept,score_relocate,no_rain_score_relocate,action_with_rain_signal,action_without_rain_signal,action_changed_by_rain_signal,expected_reward_with_rain_policy,expected_reward_no_rain_policy_under_rain,rain_policy_reward_gain
2012-04-22,MountGambier,23,6,3,evening,0.9173,very_high,0.471,0.7583,0.969,9.3881,25.7153,1.2306,1.2724,27.6743,33.4807,16.4006,11.5244,18.0714,18.1447,23.282,20.0974,relocate,relocate,False,23.282,23.282,0.0
2008-03-30,Sydney,38,6,1,morning,0.031,low,0.5129,0.5171,0.8278,3.8479,13.4458,1.5636,2.1466,15.0419,16.8631,4.7091,4.6735,10.0799,10.0835,8.5983,7.2287,accept,accept,False,10.0799,10.0799,0.0
2011-12-10,Melbourne,19,5,3,evening,0.7259,high,0.7147,0.9291,1.2139,8.138,28.0916,0.9546,2.6007,26.9847,24.5783,13.371,10.6992,17.5475,17.5939,17.7876,16.4838,relocate,accept,True,17.7876,17.5475,0.2401
2013-03-27,Richmond,35,2,3,evening,0.1788,low,0.5677,0.605,0.9252,3.702,8.4476,0.6261,1.0591,12.7457,12.8401,3.442,3.1998,9.2384,9.2466,7.9471,7.8124,accept,accept,False,9.2384,9.2384,0.0
2010-10-25,Sydney,38,0,0,night,0.7721,high,0.3563,0.5879,0.712,8.1059,26.8608,2.403,0.5,26.4246,33.3154,13.4268,9.5147,16.6386,16.7618,18.8739,15.3504,relocate,accept,True,18.8739,16.6386,2.2352
2010-06-27,Albury,3,6,3,evening,0.0348,low,0.5194,0.5242,0.8504,4.1543,13.4648,0.43,2.3242,15.4635,19.2173,5.855,5.8081,10.8451,10.8463,10.1976,10.3014,accept,accept,False,10.8451,10.8451,0.0
2015-11-22,PerthAirport,33,6,3,evening,0.0307,low,0.7761,0.7802,1.2094,5.9394,12.5539,1.7317,1.269,17.4908,14.742,5.7059,5.6751,11.7582,11.7622,10.9963,10.616,accept,accept,False,11.7582,11.7582,0.0
2010-04-25,Wollongong,48,6,3,evening,0.8051,very_high,0.5189,0.763,0.8962,2.3082,7.7898,1.4553,6.2723,10.5877,10.43,3.0686,1.778,7.4491,7.5265,0.1825,-0.0515,accept,accept,False,7.4491,7.4491,0.0
2014-03-04,Richmond,35,1,0,night,0.6045,high,0.2888,0.4593,0.6501,4.6967,14.3817,0.5401,6.0272,16.5808,22.0228,6.423,4.5187,11.505,11.5273,5.2449,2.8406,accept,accept,False,11.505,11.505,0.0
2010-02-25,GoldCoast,15,3,2,afternoon,0.9806,very_high,0.4334,0.7456,0.9944,2.336,6.4583,0.9442,0.5,10.0661,10.3673,2.9408,1.2995,7.3967,7.4562,7.2482,4.8703,accept,accept,False,7.3967,7.3967,0.0
2015-06-23,Darwin,14,1,1,morning,0.0331,low,0.5502,0.5547,0.7568,2.8586,7.4353,0.3126,3.2303,11.182,12.1046,2.7645,2.7367,8.363,8.3638,3.7534,3.5589,accept,accept,False,8.363,8.363,0.0
2015-12-08,Witchcliffe,47,1,3,evening,0.5454,moderate,0.5073,0.6573,0.9721,3.0412,9.0074,1.7534,0.8073,12.0886,14.6157,4.7207,3.6094,8.2735,8.3393,9.9075,8.8092,relocate,relocate,False,9.9075,9.9075,0.0
