Date,Location,trip_hour,trip_distance_km,trip_duration_min,location_pressure_index,peak_hour,rain_probability,rain_pred_label,rain_risk_level,base_price,demand_supply_multiplier,rain_multiplier,total_multiplier,price_without_rain_signal,price_with_rain_signal,rain_increment,rain_increment_pct
2012-04-22,MountGambier,18,3.458,7.738,0.16666666666666666,1,0.917,Yes,very_high,12.118,1.217,1.475,1.794,14.744,21.742,6.998,47.465
2008-03-30,Sydney,12,7.438,24.401,0.3333333333333333,0,0.031,No,low,24.49,1.073,1.0,1.073,26.286,26.286,0.0,0.0
2011-12-10,Melbourne,19,3.056,9.989,0.6666666666666666,1,0.726,Yes,high,12.52,1.327,1.312,1.741,16.61,21.796,5.185,31.217
2013-03-27,Richmond,17,6.482,14.499,1.0,1,0.179,No,low,19.04,1.4,1.0,1.4,26.656,26.656,0.0,0.0
2010-10-25,Sydney,5,3.368,11.946,0.3333333333333333,0,0.772,Yes,high,13.764,1.073,1.35,1.449,14.773,19.941,5.168,34.979
2010-06-27,Albury,22,8.48,23.033,0.3333333333333333,0,0.035,No,low,25.322,1.073,1.0,1.073,27.179,27.179,0.0,0.0
2015-11-22,PerthAirport,18,1.0,5.593,0.6666666666666666,1,0.031,No,low,7.899,1.327,1.0,1.327,10.479,10.479,0.0,0.0
2010-04-25,Wollongong,18,1.613,4.109,0.8333333333333334,1,0.805,Yes,very_high,8.104,1.363,1.377,1.878,11.048,15.217,4.169,37.73
2014-03-04,Richmond,6,4.075,10.315,1.0,0,0.604,Yes,high,14.033,1.22,1.219,1.487,17.121,20.871,3.75,21.902
2010-02-25,GoldCoast,12,2.667,10.351,0.0,0,0.981,Yes,very_high,12.147,1.0,1.532,1.532,12.147,18.611,6.463,53.207
2015-06-23,Darwin,10,3.291,10.363,1.0,0,0.033,No,low,12.995,1.22,1.0,1.22,15.854,15.854,0.0,0.0
2015-12-08,Witchcliffe,21,6.978,33.701,0.6666666666666666,0,0.545,Yes,moderate,27.775,1.147,1.177,1.35,31.848,37.484,5.636,17.697
